"Timestamp","Are you 18 or older?","Are you currently an undergrad student at The University of Texas at El Paso?","What is your current Classification at UTEP? ","What is your current total GPA at UTEP?","Do you consent to the use of your data in our study? (All responses are anonymous, and this info will not be publicly available)"
"2022/04/29 1:27:32 PM CDT","","Yes","Senior","2.1",""
"2022/04/29 1:35:43 PM CDT","","Yes","Junior","2.3",""
"2022/04/29 1:36:02 PM CDT","","No","","",""
"2022/04/29 1:36:36 PM CDT","","Yes","Sophomore","3.53",""
"2022/04/29 1:36:44 PM CDT","","Yes","Senior","3.0",""
"2022/04/29 1:37:08 PM CDT","","Yes","Junior","2.42",""
"2022/04/29 1:38:24 PM CDT","","Yes","Junior","3.54",""
"2022/04/29 1:39:03 PM CDT","","No","","",""
"2022/04/29 1:40:25 PM CDT","","Yes","Senior","3.0",""
"2022/04/29 1:40:41 PM CDT","","Yes","Senior","3.1",""
"2022/04/29 1:41:44 PM CDT","","Yes","Senior","3.96",""
"2022/04/29 1:41:46 PM CDT","","Yes","Freshman","3.6",""
"2022/04/29 1:43:03 PM CDT","","Yes","Junior","3.85",""
"2022/04/29 1:55:30 PM CDT","","Yes","Senior","3.19",""
"2022/04/29 2:00:41 PM CDT","","Yes","Senior","4.0",""
"2022/04/29 2:01:11 PM CDT","","No","","",""
"2022/04/29 2:11:41 PM CDT","","Yes","Senior","3.5",""
"2022/04/29 2:12:27 PM CDT","","No","","",""
"2022/04/29 2:16:34 PM CDT","","Yes","Senior","3.30",""
"2022/04/29 2:21:54 PM CDT","","Yes","Junior","2.11",""
"2022/04/29 2:29:05 PM CDT","","Yes","Sophomore","3.4",""
"2022/04/29 2:49:20 PM CDT","","Yes","Senior","3.93",""
"2022/04/29 3:01:12 PM CDT","","Yes","Sophomore","3.05",""
"2022/04/29 3:20:48 PM CDT","","Yes","Senior","4.0",""
"2022/04/29 3:33:58 PM CDT","Yes","Yes","Sophomore","3.3","Yes"
"2022/04/29 3:46:20 PM CDT","Yes","Yes","Senior","3.17","Yes"
"2022/04/29 3:48:09 PM CDT","Yes","Yes","Sophomore","3.3","Yes"
